"No.","Time","Source","Destination","Protocol","Length","Info"
"82","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"83","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"84","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"85","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"86","0.032200","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"87","0.032493","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=113257 Win=9347 Len=0"
"88","0.034305","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"89","0.034305","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"90","0.034305","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"91","0.034305","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"92","0.034305","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"93","0.034305","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"94","0.034305","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"95","0.034305","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"96","0.034305","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"97","0.034305","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"98","0.034600","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=127777 Win=9347 Len=0"
"99","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"100","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"101","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"102","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"103","0.282022","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data"
"104","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"105","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"106","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"107","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"108","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"109","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"110","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"111","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"112","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"113","0.282022","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"114","0.282722","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=149557 Win=9347 Len=0"
"115","0.282897","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"116","0.283000","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=151009 Win=9347 Len=0"
"117","0.283155","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"118","0.283155","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"119","0.283155","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"120","0.283155","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"121","0.283155","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"122","0.283388","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=158269 Win=9347 Len=0"
"123","0.286138","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"124","0.286138","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"125","0.286138","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"126","0.286138","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"127","0.286138","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"128","0.286138","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"129","0.286138","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"130","0.286138","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"131","0.286138","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"132","0.286138","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"133","0.286578","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=172789 Win=9347 Len=0"
"134","0.288979","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"135","0.288979","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"136","0.288979","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"137","0.288979","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"138","0.288979","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data"
"139","0.288979","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"140","0.288979","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"141","0.288979","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"142","0.288979","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"143","0.288979","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"144","0.288979","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"145","0.289453","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=188761 Win=9347 Len=0"
"146","0.289644","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"147","0.289644","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"148","0.289644","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"149","0.289644","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"150","0.289644","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"151","0.289644","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"152","0.289644","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"153","0.289961","192.168.1.15","51.75.61.78","TCP","54","63220  >  443 [ACK] Seq=1 Ack=198925 Win=9347 Len=0"
"154","0.294343","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"155","0.294343","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"156","0.294343","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"157","0.294343","51.75.61.78","192.168.1.15","SSLv2","1506","Encrypted Data"
"158","0.294343","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
"159","0.294343","51.75.61.78","192.168.1.15","TCP","1506","[TCP segment of a reassembled PDU]"
